 A.TOS_CAT   A.DESCRIPT                                 A.PAYM_DAYS   B.CRA_DAYS_NOTICE   B.CRA_ACTION_REQUIRED   B.CRA_LETTER_NUMBER   C.LETTER_TEXT      D.LETTER_TEXT
 N           SME Low Risk                                        21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 N           SME Low Risk                                        21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 S           Residential Secure                                  21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 S           Residential Secure                                  21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 U           Residential Medium Risk                             21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 U           Residential Medium Risk                             21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 V           Residential Low Risk                                21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 V           Residential Low Risk                                21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 W           Residential New Customer                            21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 W           Residential New Customer                            21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 X           Residential First Time Default                      21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 X           Residential First Time Default                      21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 Z           Automatic Payment Customers                         30                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 Z           Automatic Payment Customers                         30                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
44 rows selected
