 A.TOS_CAT   A.DESCRIPT                                 A.PAYM_DAYS   B.CRA_DAYS_NOTICE   B.CRA_ACTION_REQUIRED   B.CRA_LETTER_NUMBER   C.LETTER_TEXT      D.LETTER_TEXT
 L           SME High Risk                                       21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 4           Employees                                           21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 4           Employees                                           21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 4           Employees                                           21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 Z           Marketing Ambassadors - Internal clear              21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 Z           Marketing Ambassadors - Internal clear              21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 Z           Marketing Ambassadors - Internal clear              21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 7           RESIDENTIAL VERY LOYAL                              21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 7           RESIDENTIAL VERY LOYAL                              21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 7           RESIDENTIAL VERY LOYAL                              21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 M           SME Medium Risk                                     21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 M           SME Medium Risk                                     21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 M           SME Medium Risk                                     21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 N           SME Low Risk                                        21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 N           SME Low Risk                                        21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 N           SME Low Risk                                        21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 O           SME New Customer                                    21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 O           SME New Customer                                    21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 O           SME New Customer                                    21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 R           Residential VIP                                     21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 R           Residential VIP                                     21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 R           Residential VIP                                     21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 T           RESIDENTIAL HIGH RISK                               21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 T           RESIDENTIAL HIGH RISK                               21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 T           RESIDENTIAL HIGH RISK                               21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 U           RESIDENTIAL MEDIUM RISK                             21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 U           RESIDENTIAL MEDIUM RISK                             21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 U           RESIDENTIAL MEDIUM RISK                             21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 V           RESIDENTIAL LOW RISK                                21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 V           RESIDENTIAL LOW RISK                                21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 V           RESIDENTIAL LOW RISK                                21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 W           RESIDENTIAL NEW CUSTOMER                            21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 W           RESIDENTIAL NEW CUSTOMER                            21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 W           RESIDENTIAL NEW CUSTOMER                            21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 P           SME First Time Default                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 P           SME First Time Default                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or onlineat www.discoverflow.co.
 P           SME First Time Default                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      A message from FLOW.
 6           SME Very Loyal                                      21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 6           SME Very Loyal                                      21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or onlineat www.discoverflow.co.
 6           SME Very Loyal                                      21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      A message from FLOW.
 L           SME High Risk                                       21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 L           SME High Risk                                       21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or onlineat www.discoverflow.co.
 L           SME High Risk                                       21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      A message from FLOW.
 4           Employees                                           21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 4           Employees                                           21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or onlineat www.discoverflow.co.
 4           Employees                                           21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      A message from FLOW.
 7           RESIDENTIAL VERY LOYAL                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 7           RESIDENTIAL VERY LOYAL                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or onlineat www.discoverflow.co.
 7           RESIDENTIAL VERY LOYAL                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      A message from FLOW.
 M           SME Medium Risk                                     21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 M           SME Medium Risk                                     21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or onlineat www.discoverflow.co.
 M           SME Medium Risk                                     21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      A message from FLOW.
 N           SME Low Risk                                        21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 N           SME Low Risk                                        21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or onlineat www.discoverflow.co.
 N           SME Low Risk                                        21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      A message from FLOW.
 O           SME New Customer                                    21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 O           SME New Customer                                    21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or onlineat www.discoverflow.co.
 O           SME New Customer                                    21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      A message from FLOW.
 R           Residential VIP                                     21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 R           Residential VIP                                     21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or onlineat www.discoverflow.co.
 R           Residential VIP                                     21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      A message from FLOW.
 S           Residential Secure                                  21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      Dear Valued Customer. Your service is due for disconnection.Please pay now to
 S           Residential Secure                                  21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to       avoid disconnection.Visit www.discoverflow.co for online payment options.
 S           Residential Secure                                  21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      A message from Flow.
 -           Residential Senior Citizen                          21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      Dear Valued Customer. Your service is due for disconnection.Please pay now to
 -           Residential Senior Citizen                          21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to       avoid disconnection.Visit www.discoverflow.co for online payment options.
 -           Residential Senior Citizen                          21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      A message from Flow.
 4           Employees                                           21                   5   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      Dear Valued Customer. Your service is due for disconnection.Please pay now to
 4           Employees                                           21                   5   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to       avoid disconnection.Visit www.discoverflow.co for online payment options.
 4           Employees                                           21                   5   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      A message from Flow.
 Z           Marketing Ambassadors - Internal clear              21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      Dear Valued Customer. Your service is due for disconnection.Please pay now to
 Z           Marketing Ambassadors - Internal clear              21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to       avoid disconnection.Visit www.discoverflow.co for online payment options.
 Z           Marketing Ambassadors - Internal clear              21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      A message from Flow.
 T           RESIDENTIAL HIGH RISK                               21                   4   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      Dear Valued Customer. Your service is due for disconnection.Please pay now to
 T           RESIDENTIAL HIGH RISK                               21                   4   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to       avoid disconnection.Visit www.discoverflow.co for online payment options.
 T           RESIDENTIAL HIGH RISK                               21                   4   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      A message from Flow.
 U           RESIDENTIAL MEDIUM RISK                             21                   4   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      Dear Valued Customer. Your service is due for disconnection.Please pay now to
 U           RESIDENTIAL MEDIUM RISK                             21                   4   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to       avoid disconnection.Visit www.discoverflow.co for online payment options.
 U           RESIDENTIAL MEDIUM RISK                             21                   4   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      A message from Flow.
 W           RESIDENTIAL NEW CUSTOMER                            21                   4   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      Dear Valued Customer. Your service is due for disconnection.Please pay now to
 W           RESIDENTIAL NEW CUSTOMER                            21                   4   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to       avoid disconnection.Visit www.discoverflow.co for online payment options.
 W           RESIDENTIAL NEW CUSTOMER                            21                   4   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      A message from Flow.
 X           RESIDENTIAL FIRST TIME DEFAULT                      21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      Dear Valued Customer. Your service is due for disconnection.Please pay now to
 X           RESIDENTIAL FIRST TIME DEFAULT                      21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to       avoid disconnection.Visit www.discoverflow.co for online payment options.
 X           RESIDENTIAL FIRST TIME DEFAULT                      21                   2   T                     7   Dear Valued Customer. Your service is due for disconnection.Please pay now to      A message from Flow.
 T           RESIDENTIAL HIGH RISK                               21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      Dear customer. Your overdue balance of &&OSBAL&& remains
 T           RESIDENTIAL HIGH RISK                               21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      unpaid and your service will be BARRED. Visit discoverflow.co
 T           RESIDENTIAL HIGH RISK                               21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      for bill details and online payments.
 U           RESIDENTIAL MEDIUM RISK                             21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      Dear customer. Your overdue balance of &&OSBAL&& remains
 U           RESIDENTIAL MEDIUM RISK                             21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      unpaid and your service will be BARRED. Visit discoverflow.co
 U           RESIDENTIAL MEDIUM RISK                             21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      for bill details and online payments.
 V           RESIDENTIAL LOW RISK                                21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      Dear customer. Your overdue balance of &&OSBAL&& remains
 V           RESIDENTIAL LOW RISK                                21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      unpaid and your service will be BARRED. Visit discoverflow.co
 V           RESIDENTIAL LOW RISK                                21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      for bill details and online payments.
 W           RESIDENTIAL NEW CUSTOMER                            21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      Dear customer. Your overdue balance of &&OSBAL&& remains
 W           RESIDENTIAL NEW CUSTOMER                            21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      unpaid and your service will be BARRED. Visit discoverflow.co
 W           RESIDENTIAL NEW CUSTOMER                            21                   0   B                     9   Dear customer. Your overdue balance of &&OSBAL&& remains      for bill details and online payments.
108 rows selected
